  Name                         Version         Build                        Channel    
─────────────────────────────────────────────────────────────────────────────────────────
  _libgcc_mutex                0.1             conda_forge                  conda-forge
  _openmp_mutex                4.5             2_gnu                        conda-forge
  absl-py                      2.1.0           pyhd8ed1ab_0                 conda-forge
  anndata                      0.10.8          pyhd8ed1ab_0                 conda-forge
  annotated-types              0.7.0           pyhd8ed1ab_0                 conda-forge
  anyio                        4.4.0           pyhd8ed1ab_0                 conda-forge
  aom                          3.9.1           hac33072_0                   conda-forge
  array-api-compat             1.8             pyhd8ed1ab_0                 conda-forge
  arrow                        1.3.0           pyhd8ed1ab_0                 conda-forge
  backoff                      2.2.1           pyhd8ed1ab_0                 conda-forge
  beautifulsoup4               4.12.3          pyha770c72_0                 conda-forge
  blessed                      1.19.1          pyhe4f9e05_2                 conda-forge
  blosc                        1.21.6          hef167b5_0                   conda-forge
  boto3                        1.35.3          pyhd8ed1ab_0                 conda-forge
  botocore                     1.35.3          pyge310_1234567_0            conda-forge
  brotli                       1.1.0           hd590300_1                   conda-forge
  brotli-bin                   1.1.0           hd590300_1                   conda-forge
  brotli-python                1.1.0           py311hb755f60_1              conda-forge
  bzip2                        1.0.8           h4bc722e_7                   conda-forge
  c-ares                       1.33.0          ha66036c_0                   conda-forge
  ca-certificates              2024.7.4        hbcca054_0                   conda-forge
  cachecontrol                 0.14.0          pyhd8ed1ab_1                 conda-forge
  cachecontrol-with-filecache  0.14.0          pyhd8ed1ab_1                 conda-forge
  cached-property              1.5.2           hd8ed1ab_1                   conda-forge
  cached_property              1.5.2           pyha770c72_1                 conda-forge
  certifi                      2024.7.4        pyhd8ed1ab_0                 conda-forge
  cffi                         1.17.0          py311ha8e6434_0              conda-forge
  charset-normalizer           3.3.2           pyhd8ed1ab_0                 conda-forge
  chex                         0.1.86          pyhd8ed1ab_0                 conda-forge
  cleo                         2.1.0           pyhd8ed1ab_0                 conda-forge
  click                        8.1.7           unix_pyh707e725_0            conda-forge
  colorama                     0.4.6           pyhd8ed1ab_0                 conda-forge
  contextlib2                  21.6.0          pyhd8ed1ab_0                 conda-forge
  contourpy                    1.2.1           py311h9547e67_0              conda-forge
  crashtest                    0.4.1           pyhd8ed1ab_0                 conda-forge
  croniter                     1.4.1           pyhd8ed1ab_0                 conda-forge
  cryptography                 43.0.0          py311hc6616f6_0              conda-forge
  cycler                       0.12.1          pyhd8ed1ab_0                 conda-forge
  dateutils                    0.6.12          py_0                         conda-forge
  dav1d                        1.2.1           hd590300_0                   conda-forge
  dbus                         1.13.6          h5008d03_3                   conda-forge
  deepdiff                     7.0.1           pyhd8ed1ab_0                 conda-forge
  distlib                      0.3.8           pyhd8ed1ab_0                 conda-forge
  dnspython                    2.6.1           pyhd8ed1ab_1                 conda-forge
  docrep                       0.3.2           pyh44b312d_0                 conda-forge
  dulwich                      0.21.7          py311h459d7ec_0              conda-forge
  email-validator              2.2.0           pyhd8ed1ab_0                 conda-forge
  email_validator              2.2.0           hd8ed1ab_0                   conda-forge
